City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,baykit,61.67,96.37,13.39,96,91,4.74,RU,1667850183
203,hamilton,39.1834,-84.5333,68.59,25,0,9.22,US,1667850160
204,severo-kurilsk,50.6789,156.125,35.85,75,89,12.95,RU,1667849939
205,metro,-5.1131,105.3067,74.43,94,100,5.44,ID,1667850183
206,north myrtle beach,33.816,-78.68,84.22,69,20,6.91,US,1667850110
207,teguise,29.0605,-13.564,68.22,78,0,10.36,ES,1667850184
208,kadambur,8.9833,77.8667,76.12,83,46,9.19,IN,1667850184
209,siocon,7.7061,122.1353,78.28,87,97,2.13,PH,1667850184
210,imbituba,-28.24,-48.6703,64.13,83,51,9.44,BR,1667850185
211,osypenko,46.9136,36.8253,40.78,75,96,12.97,UA,1667850185
212,belyy yar,53.6039,91.3903,24.85,90,40,2.24,RU,1667850186
213,namie,37.4833,141.0,41.54,79,5,6.38,JP,1667850186
214,anloga,5.7947,0.8973,81.97,77,93,9.42,GH,1667850186
215,petawawa,45.9001,-77.3328,51.39,42,75,14.97,CA,1667850187
216,dubai,25.2582,55.3047,84.13,61,0,3.44,AE,1667849933
217,bealanana,-14.55,48.7333,62.91,92,99,1.48,MG,1667850187
218,korla,41.7597,86.1469,46.36,39,100,1.68,CN,1667850187
219,codrington,-38.2667,141.9667,57.02,90,4,7.18,AU,1667850188
220,tangkak,2.2673,102.5453,79.16,93,100,3.65,MY,1667850188
221,aquiraz,-3.9014,-38.3911,84.29,69,84,11.3,BR,1667850188
222,tura,25.5198,90.2201,64.47,84,4,3.4,IN,1667850189
223,bichena,10.45,38.2,52.56,43,51,5.08,ET,1667850190
224,zhigansk,66.7697,123.3711,-11.22,95,100,4.76,RU,1667850190
225,clyde river,70.4692,-68.5914,8.83,72,75,5.75,CA,1667850190
226,atar,20.5169,-13.0499,82.99,14,0,2.3,MR,1667850191
227,mehamn,71.0357,27.8492,35.55,93,75,3.44,NO,1667850191
228,rocha,-34.4833,-54.3333,66.25,63,0,12.41,UY,1667850191
229,caravelas,-17.7125,-39.2481,73.99,65,100,7.65,BR,1667850192
230,tres arroyos,-38.3739,-60.2798,84.45,18,58,16.28,AR,1667850192
231,asfi,32.2994,-9.2372,65.91,84,15,4.94,MA,1667850181
232,yakeshi,49.2833,120.7333,13.03,92,63,3.78,CN,1667850193
233,leningradskiy,69.3833,178.4167,11.46,87,100,2.39,RU,1667850193
234,norman wells,65.282,-126.8329,1.44,85,20,5.75,CA,1667850193
235,dingle,10.9995,122.6711,75.79,92,55,5.59,PH,1667850194
236,naqadeh,36.9553,45.388,48.88,63,100,4.27,IR,1667850194
237,omsukchan,62.5333,155.8,12.54,95,100,4.54,RU,1667850195
238,talas,38.6908,35.5538,47.07,71,75,9.22,TR,1667850195
239,half moon bay,37.4636,-122.4286,62.22,58,0,11.5,US,1667850079
240,maba,24.6841,113.5984,62.6,95,60,1.5,CN,1667850195
241,cachoeira do sul,-30.0392,-52.8939,68.32,53,55,8.37,BR,1667849924
242,batouri,4.4333,14.3667,72.12,80,89,2.84,CM,1667850196
243,madang,-5.2246,145.7966,74.61,92,100,2.37,PG,1667850196
244,hinton,53.4001,-117.5857,1.72,92,100,9.57,CA,1667850197
245,severnoye,56.3491,78.3619,20.77,99,84,1.81,RU,1667850197
246,jiaocheng,24.6774,116.1389,65.17,96,100,2.95,CN,1667850197
247,puerto quijarro,-17.7833,-57.7667,98.71,14,0,6.02,BO,1667850198
248,akdagmadeni,39.6603,35.8836,45.59,80,100,6.44,TR,1667850198
249,falam,22.9167,93.6833,52.36,94,10,2.57,MM,1667850198
250,bodden town,19.2833,-81.25,86.0,66,20,12.66,KY,1667850199
